Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
34.738,0.0,0.0,0.0,0.0,0.0,0.0
34.839,0.0,0.0,0.0,0.0,0.0,0.0
34.94,0.0,0.0,0.0,0.0,0.0,0.0
35.038,0.0,0.0,0.0,0.0,0.0,0.0
35.14,0.0,0.0,0.0,0.0,0.0,0.0
35.24,0.0,0.0,0.0,0.0,0.0,0.0
35.34,0.0,0.0,0.0,0.0,0.0,0.0
35.441,0.0,0.0,0.0,0.0,0.0,0.0
35.541,0.0,0.0,0.0,0.0,0.0,0.0
35.641,0.0,0.0,0.0,0.0,0.0,0.0
35.741,0.0,0.0,0.0,0.0,0.0,0.0
35.841,0.0,0.0,0.0,0.0,0.0,0.0
35.941,0.0,0.0,0.0,0.0,0.0,0.0
36.041,0.0,0.0,0.0,0.0,0.0,0.0
36.142,0.0,0.0,0.0,0.0,0.0,0.0
36.242,0.0,0.0,0.0,0.0,0.0,0.0
36.341,0.0,0.0,0.0,0.0,0.0,0.0
36.441,0.0,0.0,0.0,0.0,0.0,0.0
36.542,0.0,0.0,0.0,0.0,0.0,0.0
36.642,0.0,0.0,0.0,0.0,0.0,0.0
36.742,0.0,0.0,0.0,0.0,0.0,0.0
36.842,0.0,0.0,0.0,0.0,0.0,0.0
36.942,0.0,0.0,0.0,0.0,0.0,0.0
37.042,0.0,0.0,0.0,0.0,0.0,0.0
37.142,0.0,0.0,0.0,0.0,0.0,0.0
37.242,0.0,0.0,0.0,0.0,0.0,0.0
37.342,0.0,0.0,0.0,0.0,0.0,0.0
37.443,0.0,0.0,0.0,0.0,0.0,0.0
37.543,0.0,0.0,0.0,0.0,0.0,0.0
37.644,0.0,0.0,0.0,0.0,0.0,0.0
37.743,0.0,0.0,0.0,0.0,0.0,0.0
37.843,0.0,0.0,0.0,0.0,0.0,0.0
37.944,0.0,0.0,0.0,0.0,0.0,0.0
38.044,0.0,0.0,0.0,0.0,0.0,0.0
38.144,0.0,0.0,0.0,0.0,0.0,0.0
38.245,0.0,0.0,0.0,0.0,0.0,0.0
38.344,0.0,0.0,0.0,0.0,0.0,0.0
38.445,0.0,0.0,0.0,0.0,0.0,0.0
38.544,0.0,0.0,0.0,0.0,0.0,0.0
38.645,0.0,0.0,0.0,0.0,0.0,0.0
38.745,0.0,0.0,0.0,0.0,0.0,0.0
38.845,0.0,0.0,0.0,0.0,0.0,0.0
