Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance
34.674,0,10,397000000,map,0.012765523602987838,-0.0018575886704669967,0.0,0.0,0.0,8.560345123093127e-05,0.9999999963360245,"(0.2470653041573616, 0.0019165315976033225, 0.0, 0.0, 0.0, 0.0, 0.0019165315976033246, 0.24600273131249162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06848905809146005)"
56.439,1,56,398000000,map,0.24859360678866463,0.09409746582339125,0.0,0.0,0.0,0.17818554499990633,0.9839969062721113,"(0.18950598300327587, -0.005191661325132511, 0.0, 0.0, 0.0, 0.0, -0.005191661325132511, 0.10739555645237839, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06133986069005577)"
61.427,2,61,398000000,map,0.6101658927358531,0.2394861188269569,0.0,0.0,0.0,0.17720492022758055,0.9841739766154848,"(0.15812233142807763, -0.0028520728322717626, 0.0, 0.0, 0.0, 0.0, -0.002852072832271735, 0.059706340451941675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.039749667628285155)"
65.827,3,65,798000000,map,1.0103766804032392,0.2892928212788347,0.0,0.0,0.0,0.020810304902005465,0.999783442156293,"(0.12805022456698278, 0.0017301901724648405, 0.0, 0.0, 0.0, 0.0, 0.0017301901724648405, 0.030148067005947285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021069909383924498)"
70.021,4,69,998000000,map,1.4201039982846986,0.2925323132238008,0.0,0.0,0.0,0.022802342916767148,0.9997399927768751,"(0.10035431183717636, 0.0005044863828376212, 0.0, 0.0, 0.0, 0.0, 0.0005044863828376212, 0.01957056832550251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010376664630596099)"
74.41,5,74,398000000,map,1.8217927697861065,0.2982024478181563,0.0,0.0,0.0,0.023336799725735966,0.9997276598046895,"(0.07414444529950082, -2.0831653510300363e-05, 0.0, 0.0, 0.0, 0.0, -2.0831653510300363e-05, 0.01639886805899876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00674364430637607)"
78.605,6,78,598000000,map,2.2268671134864664,0.3059062759672758,0.0,0.0,0.0,0.024734424625996152,0.9996940573187484,"(0.056625972376063594, -0.0014402215054244438, 0.0, 0.0, 0.0, 0.0, -0.0014402215054244438, 0.008431527849842399, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00459205897013112)"
83.001,7,82,998000000,map,2.6246074346672157,0.32586515931388776,0.0,0.0,0.0,0.052882939097512544,0.9986007183816807,"(0.0460857577778464, -0.0007077414458855902, 0.0, 0.0, 0.0, 0.0, -0.0007077414458854792, 0.007890257664576378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003380240094612731)"
89.602,8,89,598000000,map,2.774902062876242,0.3810603326212302,0.0,0.0,0.0,0.5613139028237975,0.827602986036612,"(0.04620706689763043, 0.0005144559512693103, 0.0, 0.0, 0.0, 0.0, 0.0005144559512693103, 0.007187073417414452, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006718408899672208)"
100.404,9,100,398000000,map,2.7304272006035535,0.7938471609954664,0.0,0.0,0.0,0.7056927263055257,0.708518013913178,"(0.03811746300667629, -8.832119898860569e-05, 0.0, 0.0, 0.0, 0.0, -8.832119898860569e-05, 0.006265488057574875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006135251000167996)"
